datetime,no2,pm10,pm25
2023-01-01 01:00:00,8.47575,10.225,5.66
2023-01-01 02:00:00,7.78986,10.625,5.307
2023-01-01 03:00:00,6.96417,12.4,6.132
2023-01-01 04:00:00,6.21577,14.1,6.651
2023-01-01 05:00:00,6.54313,16.475,7.5
2023-01-01 06:00:00,6.73037,16.95,8.113
2023-01-01 07:00:00,6.63669,16.825,8.137
2023-01-01 08:00:00,7.05742,19.725,9.434
2023-01-01 09:00:00,8.4598,23.8,10.66
2023-01-01 10:00:00,7.85189,23.05,10.943
2023-01-01 11:00:00,7.43073,22.35,10.637
2023-01-01 12:00:00,7.99158,21.1,10.448
2023-01-01 13:00:00,10.2353,21.4,10.826
2023-01-01 14:00:00,9.30046,22.1,11.203
2023-01-01 15:00:00,13.13386,23.625,12.193
2023-01-01 16:00:00,14.25606,22.7,11.863
2023-01-01 17:00:00,15.28445,20.75,10.259
2023-01-01 18:00:00,17.52854,17.025,9.104
2023-01-01 19:00:00,34.77335,11.1,5.566
2023-01-01 20:00:00,49.26168,10.825,6.109
2023-01-01 21:00:00,47.53219,9.5,5.967
2023-01-01 22:00:00,52.85742,9.025,4.764
2023-01-01 23:00:00,21.22169,11.7,5.778
2023-01-02 01:00:00,15.33695,6.025,3.373
2023-01-02 02:00:00,13.96497,5.175,3.231
2023-01-02 03:00:00,10.56702,6.125,3.373
2023-01-02 04:00:00,11.4553,7.25,3.514
2023-01-02 05:00:00,9.53785,7.75,3.915
2023-01-02 06:00:00,11.17448,7.925,3.538
2023-01-02 07:00:00,15.57036,8.9,3.514
2023-01-02 08:00:00,15.05613,7.525,3.325
2023-01-02 09:00:00,24.78134,8.325,3.844
2023-01-02 10:00:00,47.26011,10.275,4.835
2023-01-02 11:00:00,52.25557,11.45,5.755
2023-01-02 12:00:00,30.89494,8.675,4.505
2023-01-02 13:00:00,30.19413,8.7,4.387
2023-01-02 14:00:00,26.73738,6.025,3.656
2023-01-02 15:00:00,38.51511,7.375,3.396
2023-01-02 16:00:00,50.38839,9.925,3.632
2023-01-02 17:00:00,41.65215,9.225,4.175
2023-01-02 18:00:00,41.28757,7.45,4.458
2023-01-02 19:00:00,42.4578,10.625,6.934
2023-01-02 20:00:00,45.54428,13.825,9.41
2023-01-02 21:00:00,49.37882,19.175,13.396
2023-01-02 22:00:00,54.05368,15.8,11.934
2023-01-02 23:00:00,49.93738,16.925,11.486
2023-01-03 01:00:00,41.72215,11.45,8.561
2023-01-03 02:00:00,22.57646,9.425,6.274
2023-01-03 03:00:00,20.67441,9.3,5.943
2023-01-03 04:00:00,22.12483,10.1,6.368
2023-01-03 05:00:00,20.0665,11.15,6.675
2023-01-03 06:00:00,17.63388,13.85,8.326
2023-01-03 07:00:00,23.57449,13.475,8.113
2023-01-03 08:00:00,25.86649,12.2,6.604
2023-01-03 09:00:00,26.24028,14.95,6.792
2023-01-03 10:00:00,20.39241,16.0,6.91
2023-01-03 11:00:00,17.63238,,
2023-01-03 12:00:00,17.6794,,
2023-01-03 13:00:00,17.49222,9.125,4.929
2023-01-03 14:00:00,17.39871,11.825,5.448
2023-01-03 15:00:00,16.04215,12.5,6.415
2023-01-03 16:00:00,15.62159,9.85,4.693
2023-01-03 17:00:00,14.77966,10.35,5.354
2023-01-03 18:00:00,15.3409,7.675,4.434
2023-01-03 19:00:00,13.18936,6.025,3.396
2023-01-03 20:00:00,12.44071,5.975,3.16
2023-01-03 21:00:00,11.22471,5.55,2.453
2023-01-03 22:00:00,9.16627,4.7,2.099
2023-01-03 23:00:00,7.57598,8.9,4.505
2023-01-04 01:00:00,5.11624,11.075,5.472
2023-01-04 02:00:00,4.30496,9.175,4.316
2023-01-04 03:00:00,4.11785,12.275,6.368
2023-01-04 04:00:00,4.49233,9.05,4.788
2023-01-04 05:00:00,4.77305,5.475,2.901
2023-01-04 06:00:00,6.03649,4.875,2.288
2023-01-04 07:00:00,8.28276,8.075,3.42
2023-01-04 08:00:00,10.85617,8.75,3.443
2023-01-04 09:00:00,15.67607,6.975,3.113
2023-01-04 10:00:00,17.0321,9.9,4.127
2023-01-04 11:00:00,16.47072,11.925,5.495
2023-01-04 12:00:00,16.34548,13.675,6.745
2023-01-04 13:00:00,,14.375,7.476
2023-01-04 14:00:00,20.0249,15.625,8.797
2023-01-04 15:00:00,20.67927,13.025,7.618
2023-01-04 16:00:00,18.52903,15.75,8.726
2023-01-04 17:00:00,23.01986,17.325,9.528
2023-01-04 18:00:00,28.58716,17.025,9.552
2023-01-04 19:00:00,30.03812,18.1,10.943
2023-01-04 20:00:00,21.24399,19.225,12.052
2023-01-04 21:00:00,23.39589,21.375,12.689
2023-01-04 22:00:00,13.8509,19.575,11.368
2023-01-04 23:00:00,16.51796,19.4,10.92
2023-01-05 01:00:00,8.49848,19.175,10.495
2023-01-05 02:00:00,8.74831,18.9,10.778
2023-01-05 03:00:00,10.2639,21.775,11.627
2023-01-05 04:00:00,7.96734,21.475,11.58
2023-01-05 05:00:00,8.85769,22.5,11.793
2023-01-05 06:00:00,11.34167,23.975,12.052
2023-01-05 07:00:00,14.43479,26.8,12.382
2023-01-05 08:00:00,20.90163,25.3,12.123
2023-01-05 09:00:00,28.54069,23.45,11.203
2023-01-05 10:00:00,32.99121,17.55,8.609
2023-01-05 11:00:00,23.61796,11.7,5.684
2023-01-05 12:00:00,21.275,9.875,3.986
2023-01-05 13:00:00,18.83901,8.45,3.915
2023-01-05 14:00:00,20.10425,10.525,4.717
2023-01-05 15:00:00,19.35497,14.425,6.958
2023-01-05 16:00:00,18.69932,14.975,7.264
2023-01-05 17:00:00,20.66774,13.0,6.392
2023-01-05 18:00:00,20.94957,11.35,6.061
2023-01-05 19:00:00,17.85635,10.775,5.637
2023-01-05 20:00:00,17.90306,11.85,5.991
2023-01-05 21:00:00,14.80959,12.725,6.179
2023-01-05 22:00:00,12.1853,10.275,5.495
2023-01-05 23:00:00,12.23217,9.775,4.717
2023-01-06 01:00:00,6.63387,5.375,2.193
2023-01-06 02:00:00,6.57141,5.575,2.146
2023-01-06 03:00:00,6.05509,2.35,0.849
2023-01-06 04:00:00,9.52871,2.65,1.085
2023-01-06 05:00:00,6.80633,3.35,1.439
2023-01-06 06:00:00,10.56154,5.15,1.769
2023-01-06 07:00:00,13.7531,5.6,1.769
2023-01-06 08:00:00,20.41875,5.125,1.792
2023-01-06 09:00:00,25.81624,6.4,2.123
2023-01-06 10:00:00,30.64906,9.575,2.925
2023-01-06 11:00:00,24.45255,11.625,3.632
